theta1,theta2,omega1,omega2
1.2566370614359172,0.0,0.0,0.0
1.2566370614359172,0.0,0.0,0.2000000000000001
1.2566370614359172,0.0,0.0,0.4000000000000001
1.2566370614359172,0.0,0.0,0.6000000000000001
1.2566370614359172,0.0,0.0,0.8
1.2566370614359172,0.0,0.0,1.0
1.2566370614359172,0.0,0.2000000000000001,-1.0
1.2566370614359172,0.0,0.2000000000000001,-0.8
1.2566370614359172,0.0,0.2000000000000001,-0.6
1.2566370614359172,0.0,0.2000000000000001,-0.3999999999999999
1.2566370614359172,0.0,0.2000000000000001,-0.1999999999999999
1.2566370614359172,0.0,0.2000000000000001,0.0
1.2566370614359172,0.0,0.2000000000000001,0.2000000000000001
1.2566370614359172,0.0,0.2000000000000001,0.4000000000000001
1.2566370614359172,0.0,0.2000000000000001,0.6000000000000001
1.2566370614359172,0.0,0.2000000000000001,0.8
1.2566370614359172,0.0,0.2000000000000001,1.0
1.2566370614359172,0.0,0.4000000000000001,-1.0
1.2566370614359172,0.0,0.4000000000000001,-0.8
1.2566370614359172,0.0,0.4000000000000001,-0.6
1.2566370614359172,0.0,0.4000000000000001,-0.3999999999999999
1.2566370614359172,0.0,0.4000000000000001,-0.1999999999999999
1.2566370614359172,0.0,0.4000000000000001,0.0
1.2566370614359172,0.0,0.4000000000000001,0.2000000000000001
1.2566370614359172,0.0,0.4000000000000001,0.4000000000000001
1.2566370614359172,0.0,0.4000000000000001,0.6000000000000001
1.2566370614359172,0.0,0.4000000000000001,0.8
1.2566370614359172,0.0,0.4000000000000001,1.0
1.2566370614359172,0.0,0.6000000000000001,-1.0
1.2566370614359172,0.0,0.6000000000000001,-0.8
1.2566370614359172,0.0,0.6000000000000001,-0.6
1.2566370614359172,0.0,0.6000000000000001,-0.3999999999999999
1.2566370614359172,0.0,0.6000000000000001,-0.1999999999999999
1.2566370614359172,0.0,0.6000000000000001,0.0
1.2566370614359172,0.0,0.6000000000000001,0.2000000000000001
1.2566370614359172,0.0,0.6000000000000001,0.4000000000000001
1.2566370614359172,0.0,0.6000000000000001,0.6000000000000001
1.2566370614359172,0.0,0.6000000000000001,0.8
1.2566370614359172,0.0,0.6000000000000001,1.0
1.2566370614359172,0.0,0.8,-1.0
1.2566370614359172,0.0,0.8,-0.8
1.2566370614359172,0.0,0.8,-0.6
1.2566370614359172,0.0,0.8,-0.3999999999999999
1.2566370614359172,0.0,0.8,-0.1999999999999999
1.2566370614359172,0.0,0.8,0.0
1.2566370614359172,0.0,0.8,0.2000000000000001
1.2566370614359172,0.0,0.8,0.4000000000000001
1.2566370614359172,0.0,0.8,0.6000000000000001
1.2566370614359172,0.0,0.8,0.8
1.2566370614359172,0.0,0.8,1.0
1.2566370614359172,0.0,1.0,-1.0
1.2566370614359172,0.0,1.0,-0.8
1.2566370614359172,0.0,1.0,-0.6
1.2566370614359172,0.0,1.0,-0.3999999999999999
1.2566370614359172,0.0,1.0,-0.1999999999999999
1.2566370614359172,0.0,1.0,0.0
1.2566370614359172,0.0,1.0,0.2000000000000001
1.2566370614359172,0.0,1.0,0.4000000000000001
1.2566370614359172,0.0,1.0,0.6000000000000001
1.2566370614359172,0.0,1.0,0.8
1.2566370614359172,0.0,1.0,1.0
1.2566370614359172,0.6283185307179586,-1.0,-1.0
1.2566370614359172,0.6283185307179586,-1.0,-0.8
1.2566370614359172,0.6283185307179586,-1.0,-0.6
1.2566370614359172,0.6283185307179586,-1.0,-0.3999999999999999
1.2566370614359172,0.6283185307179586,-1.0,-0.1999999999999999
1.2566370614359172,0.6283185307179586,-1.0,0.0
1.2566370614359172,0.6283185307179586,-1.0,0.2000000000000001
1.2566370614359172,0.6283185307179586,-1.0,0.4000000000000001
1.2566370614359172,0.6283185307179586,-1.0,0.6000000000000001
1.2566370614359172,0.6283185307179586,-1.0,0.8
1.2566370614359172,0.6283185307179586,-1.0,1.0
1.2566370614359172,0.6283185307179586,-0.8,-1.0
1.2566370614359172,0.6283185307179586,-0.8,-0.8
1.2566370614359172,0.6283185307179586,-0.8,-0.6
1.2566370614359172,0.6283185307179586,-0.8,-0.3999999999999999
1.2566370614359172,0.6283185307179586,-0.8,-0.1999999999999999
1.2566370614359172,0.6283185307179586,-0.8,0.0
1.2566370614359172,0.6283185307179586,-0.8,0.2000000000000001
1.2566370614359172,0.6283185307179586,-0.8,0.4000000000000001
1.2566370614359172,0.6283185307179586,-0.8,0.6000000000000001
1.2566370614359172,0.6283185307179586,-0.8,0.8
1.2566370614359172,0.6283185307179586,-0.8,1.0
1.2566370614359172,0.6283185307179586,-0.6,-1.0
1.2566370614359172,0.6283185307179586,-0.6,-0.8
1.2566370614359172,0.6283185307179586,-0.6,-0.6
1.2566370614359172,0.6283185307179586,-0.6,-0.3999999999999999
1.2566370614359172,0.6283185307179586,-0.6,-0.1999999999999999
1.2566370614359172,0.6283185307179586,-0.6,0.0
1.2566370614359172,0.6283185307179586,-0.6,0.2000000000000001
1.2566370614359172,0.6283185307179586,-0.6,0.4000000000000001
1.2566370614359172,0.6283185307179586,-0.6,0.6000000000000001
1.2566370614359172,0.6283185307179586,-0.6,0.8
1.2566370614359172,0.6283185307179586,-0.6,1.0
1.2566370614359172,0.6283185307179586,-0.3999999999999999,-1.0
1.2566370614359172,0.6283185307179586,-0.3999999999999999,-0.8
1.2566370614359172,0.6283185307179586,-0.3999999999999999,-0.6
1.2566370614359172,0.6283185307179586,-0.3999999999999999,-0.3999999999999999
1.2566370614359172,0.6283185307179586,-0.3999999999999999,-0.1999999999999999
1.2566370614359172,0.6283185307179586,-0.3999999999999999,0.0
1.2566370614359172,0.6283185307179586,-0.3999999999999999,0.2000000000000001
1.2566370614359172,0.6283185307179586,-0.3999999999999999,0.4000000000000001
1.2566370614359172,0.6283185307179586,-0.3999999999999999,0.6000000000000001
1.2566370614359172,0.6283185307179586,-0.3999999999999999,0.8
1.2566370614359172,0.6283185307179586,-0.3999999999999999,1.0
1.2566370614359172,0.6283185307179586,-0.1999999999999999,-1.0
1.2566370614359172,0.6283185307179586,-0.1999999999999999,-0.8
1.2566370614359172,0.6283185307179586,-0.1999999999999999,-0.6
1.2566370614359172,0.6283185307179586,-0.1999999999999999,-0.3999999999999999
1.2566370614359172,0.6283185307179586,-0.1999999999999999,-0.1999999999999999
1.2566370614359172,0.6283185307179586,-0.1999999999999999,0.0
1.2566370614359172,0.6283185307179586,-0.1999999999999999,0.2000000000000001
1.2566370614359172,0.6283185307179586,-0.1999999999999999,0.4000000000000001
1.2566370614359172,0.6283185307179586,-0.1999999999999999,0.6000000000000001
1.2566370614359172,0.6283185307179586,-0.1999999999999999,0.8
1.2566370614359172,0.6283185307179586,-0.1999999999999999,1.0
1.2566370614359172,0.6283185307179586,0.0,-1.0
1.2566370614359172,0.6283185307179586,0.0,-0.8
1.2566370614359172,0.6283185307179586,0.0,-0.6
1.2566370614359172,0.6283185307179586,0.0,-0.3999999999999999
1.2566370614359172,0.6283185307179586,0.0,-0.1999999999999999
1.2566370614359172,0.6283185307179586,0.0,0.0
1.2566370614359172,0.6283185307179586,0.0,0.2000000000000001
1.2566370614359172,0.6283185307179586,0.0,0.4000000000000001
1.2566370614359172,0.6283185307179586,0.0,0.6000000000000001
1.2566370614359172,0.6283185307179586,0.0,0.8
1.2566370614359172,0.6283185307179586,0.0,1.0
1.2566370614359172,0.6283185307179586,0.2000000000000001,-1.0
1.2566370614359172,0.6283185307179586,0.2000000000000001,-0.8
1.2566370614359172,0.6283185307179586,0.2000000000000001,-0.6
1.2566370614359172,0.6283185307179586,0.2000000000000001,-0.3999999999999999
1.2566370614359172,0.6283185307179586,0.2000000000000001,-0.1999999999999999
1.2566370614359172,0.6283185307179586,0.2000000000000001,0.0
1.2566370614359172,0.6283185307179586,0.2000000000000001,0.2000000000000001
1.2566370614359172,0.6283185307179586,0.2000000000000001,0.4000000000000001
1.2566370614359172,0.6283185307179586,0.2000000000000001,0.6000000000000001
1.2566370614359172,0.6283185307179586,0.2000000000000001,0.8
1.2566370614359172,0.6283185307179586,0.2000000000000001,1.0
1.2566370614359172,0.6283185307179586,0.4000000000000001,-1.0
1.2566370614359172,0.6283185307179586,0.4000000000000001,-0.8
1.2566370614359172,0.6283185307179586,0.4000000000000001,-0.6
1.2566370614359172,0.6283185307179586,0.4000000000000001,-0.3999999999999999
1.2566370614359172,0.6283185307179586,0.4000000000000001,-0.1999999999999999
1.2566370614359172,0.6283185307179586,0.4000000000000001,0.0
1.2566370614359172,0.6283185307179586,0.4000000000000001,0.2000000000000001
1.2566370614359172,0.6283185307179586,0.4000000000000001,0.4000000000000001
1.2566370614359172,0.6283185307179586,0.4000000000000001,0.6000000000000001
1.2566370614359172,0.6283185307179586,0.4000000000000001,0.8
1.2566370614359172,0.6283185307179586,0.4000000000000001,1.0
1.2566370614359172,0.6283185307179586,0.6000000000000001,-1.0
1.2566370614359172,0.6283185307179586,0.6000000000000001,-0.8
1.2566370614359172,0.6283185307179586,0.6000000000000001,-0.6
1.2566370614359172,0.6283185307179586,0.6000000000000001,-0.3999999999999999
1.2566370614359172,0.6283185307179586,0.6000000000000001,-0.1999999999999999
1.2566370614359172,0.6283185307179586,0.6000000000000001,0.0
1.2566370614359172,0.6283185307179586,0.6000000000000001,0.2000000000000001
1.2566370614359172,0.6283185307179586,0.6000000000000001,0.4000000000000001
1.2566370614359172,0.6283185307179586,0.6000000000000001,0.6000000000000001
1.2566370614359172,0.6283185307179586,0.6000000000000001,0.8
1.2566370614359172,0.6283185307179586,0.6000000000000001,1.0
1.2566370614359172,0.6283185307179586,0.8,-1.0
1.2566370614359172,0.6283185307179586,0.8,-0.8
1.2566370614359172,0.6283185307179586,0.8,-0.6
1.2566370614359172,0.6283185307179586,0.8,-0.3999999999999999
1.2566370614359172,0.6283185307179586,0.8,-0.1999999999999999
1.2566370614359172,0.6283185307179586,0.8,0.0
1.2566370614359172,0.6283185307179586,0.8,0.2000000000000001
1.2566370614359172,0.6283185307179586,0.8,0.4000000000000001
1.2566370614359172,0.6283185307179586,0.8,0.6000000000000001
1.2566370614359172,0.6283185307179586,0.8,0.8
1.2566370614359172,0.6283185307179586,0.8,1.0
1.2566370614359172,0.6283185307179586,1.0,-1.0
1.2566370614359172,0.6283185307179586,1.0,-0.8
1.2566370614359172,0.6283185307179586,1.0,-0.6
1.2566370614359172,0.6283185307179586,1.0,-0.3999999999999999
1.2566370614359172,0.6283185307179586,1.0,-0.1999999999999999
1.2566370614359172,0.6283185307179586,1.0,0.0
1.2566370614359172,0.6283185307179586,1.0,0.2000000000000001
1.2566370614359172,0.6283185307179586,1.0,0.4000000000000001
1.2566370614359172,0.6283185307179586,1.0,0.6000000000000001
1.2566370614359172,0.6283185307179586,1.0,0.8
1.2566370614359172,0.6283185307179586,1.0,1.0
1.2566370614359172,1.2566370614359172,-1.0,-1.0
1.2566370614359172,1.2566370614359172,-1.0,-0.8
1.2566370614359172,1.2566370614359172,-1.0,-0.6
1.2566370614359172,1.2566370614359172,-1.0,-0.3999999999999999
1.2566370614359172,1.2566370614359172,-1.0,-0.1999999999999999
1.2566370614359172,1.2566370614359172,-1.0,0.0
1.2566370614359172,1.2566370614359172,-1.0,0.2000000000000001
1.2566370614359172,1.2566370614359172,-1.0,0.4000000000000001
1.2566370614359172,1.2566370614359172,-1.0,0.6000000000000001
1.2566370614359172,1.2566370614359172,-1.0,0.8
1.2566370614359172,1.2566370614359172,-1.0,1.0
1.2566370614359172,1.2566370614359172,-0.8,-1.0
1.2566370614359172,1.2566370614359172,-0.8,-0.8
1.2566370614359172,1.2566370614359172,-0.8,-0.6
1.2566370614359172,1.2566370614359172,-0.8,-0.3999999999999999
1.2566370614359172,1.2566370614359172,-0.8,-0.1999999999999999
1.2566370614359172,1.2566370614359172,-0.8,0.0
1.2566370614359172,1.2566370614359172,-0.8,0.2000000000000001
1.2566370614359172,1.2566370614359172,-0.8,0.4000000000000001
1.2566370614359172,1.2566370614359172,-0.8,0.6000000000000001
1.2566370614359172,1.2566370614359172,-0.8,0.8
1.2566370614359172,1.2566370614359172,-0.8,1.0
1.2566370614359172,1.2566370614359172,-0.6,-1.0
1.2566370614359172,1.2566370614359172,-0.6,-0.8
1.2566370614359172,1.2566370614359172,-0.6,-0.6
1.2566370614359172,1.2566370614359172,-0.6,-0.3999999999999999
1.2566370614359172,1.2566370614359172,-0.6,-0.1999999999999999
1.2566370614359172,1.2566370614359172,-0.6,0.0
1.2566370614359172,1.2566370614359172,-0.6,0.2000000000000001
1.2566370614359172,1.2566370614359172,-0.6,0.4000000000000001
1.2566370614359172,1.2566370614359172,-0.6,0.6000000000000001
1.2566370614359172,1.2566370614359172,-0.6,0.8
1.2566370614359172,1.2566370614359172,-0.6,1.0
1.2566370614359172,1.2566370614359172,-0.3999999999999999,-1.0
1.2566370614359172,1.2566370614359172,-0.3999999999999999,-0.8
1.2566370614359172,1.2566370614359172,-0.3999999999999999,-0.6
1.2566370614359172,1.2566370614359172,-0.3999999999999999,-0.3999999999999999
1.2566370614359172,1.2566370614359172,-0.3999999999999999,-0.1999999999999999
1.2566370614359172,1.2566370614359172,-0.3999999999999999,0.0
1.2566370614359172,1.2566370614359172,-0.3999999999999999,0.2000000000000001
1.2566370614359172,1.2566370614359172,-0.3999999999999999,0.4000000000000001
1.2566370614359172,1.2566370614359172,-0.3999999999999999,0.6000000000000001
1.2566370614359172,1.2566370614359172,-0.3999999999999999,0.8
1.2566370614359172,1.2566370614359172,-0.3999999999999999,1.0
1.2566370614359172,1.2566370614359172,-0.1999999999999999,-1.0
1.2566370614359172,1.2566370614359172,-0.1999999999999999,-0.8
1.2566370614359172,1.2566370614359172,-0.1999999999999999,-0.6
1.2566370614359172,1.2566370614359172,-0.1999999999999999,-0.3999999999999999
1.2566370614359172,1.2566370614359172,-0.1999999999999999,-0.1999999999999999
1.2566370614359172,1.2566370614359172,-0.1999999999999999,0.0
1.2566370614359172,1.2566370614359172,-0.1999999999999999,0.2000000000000001
1.2566370614359172,1.2566370614359172,-0.1999999999999999,0.4000000000000001
1.2566370614359172,1.2566370614359172,-0.1999999999999999,0.6000000000000001
1.2566370614359172,1.2566370614359172,-0.1999999999999999,0.8
1.2566370614359172,1.2566370614359172,-0.1999999999999999,1.0
1.2566370614359172,1.2566370614359172,0.0,-1.0
1.2566370614359172,1.2566370614359172,0.0,-0.8
1.2566370614359172,1.2566370614359172,0.0,-0.6
1.2566370614359172,1.2566370614359172,0.0,-0.3999999999999999
1.2566370614359172,1.2566370614359172,0.0,-0.1999999999999999
1.2566370614359172,1.2566370614359172,0.0,0.0
1.2566370614359172,1.2566370614359172,0.0,0.2000000000000001
1.2566370614359172,1.2566370614359172,0.0,0.4000000000000001
1.2566370614359172,1.2566370614359172,0.0,0.6000000000000001
1.2566370614359172,1.2566370614359172,0.0,0.8
1.2566370614359172,1.2566370614359172,0.0,1.0
1.2566370614359172,1.2566370614359172,0.2000000000000001,-1.0
1.2566370614359172,1.2566370614359172,0.2000000000000001,-0.8
1.2566370614359172,1.2566370614359172,0.2000000000000001,-0.6
1.2566370614359172,1.2566370614359172,0.2000000000000001,-0.3999999999999999
1.2566370614359172,1.2566370614359172,0.2000000000000001,-0.1999999999999999
1.2566370614359172,1.2566370614359172,0.2000000000000001,0.0
1.2566370614359172,1.2566370614359172,0.2000000000000001,0.2000000000000001
1.2566370614359172,1.2566370614359172,0.2000000000000001,0.4000000000000001
1.2566370614359172,1.2566370614359172,0.2000000000000001,0.6000000000000001
1.2566370614359172,1.2566370614359172,0.2000000000000001,0.8
1.2566370614359172,1.2566370614359172,0.2000000000000001,1.0
1.2566370614359172,1.2566370614359172,0.4000000000000001,-1.0
1.2566370614359172,1.2566370614359172,0.4000000000000001,-0.8
1.2566370614359172,1.2566370614359172,0.4000000000000001,-0.6
1.2566370614359172,1.2566370614359172,0.4000000000000001,-0.3999999999999999
1.2566370614359172,1.2566370614359172,0.4000000000000001,-0.1999999999999999
1.2566370614359172,1.2566370614359172,0.4000000000000001,0.0
1.2566370614359172,1.2566370614359172,0.4000000000000001,0.2000000000000001
1.2566370614359172,1.2566370614359172,0.4000000000000001,0.4000000000000001
1.2566370614359172,1.2566370614359172,0.4000000000000001,0.6000000000000001
1.2566370614359172,1.2566370614359172,0.4000000000000001,0.8
1.2566370614359172,1.2566370614359172,0.4000000000000001,1.0
1.2566370614359172,1.2566370614359172,0.6000000000000001,-1.0
1.2566370614359172,1.2566370614359172,0.6000000000000001,-0.8
1.2566370614359172,1.2566370614359172,0.6000000000000001,-0.6
1.2566370614359172,1.2566370614359172,0.6000000000000001,-0.3999999999999999
1.2566370614359172,1.2566370614359172,0.6000000000000001,-0.1999999999999999
1.2566370614359172,1.2566370614359172,0.6000000000000001,0.0
1.2566370614359172,1.2566370614359172,0.6000000000000001,0.2000000000000001
1.2566370614359172,1.2566370614359172,0.6000000000000001,0.4000000000000001
1.2566370614359172,1.2566370614359172,0.6000000000000001,0.6000000000000001
1.2566370614359172,1.2566370614359172,0.6000000000000001,0.8
1.2566370614359172,1.2566370614359172,0.6000000000000001,1.0
1.2566370614359172,1.2566370614359172,0.8,-1.0
1.2566370614359172,1.2566370614359172,0.8,-0.8
1.2566370614359172,1.2566370614359172,0.8,-0.6
1.2566370614359172,1.2566370614359172,0.8,-0.3999999999999999
1.2566370614359172,1.2566370614359172,0.8,-0.1999999999999999
1.2566370614359172,1.2566370614359172,0.8,0.0
1.2566370614359172,1.2566370614359172,0.8,0.2000000000000001
1.2566370614359172,1.2566370614359172,0.8,0.4000000000000001
1.2566370614359172,1.2566370614359172,0.8,0.6000000000000001
1.2566370614359172,1.2566370614359172,0.8,0.8
1.2566370614359172,1.2566370614359172,0.8,1.0
1.2566370614359172,1.2566370614359172,1.0,-1.0
1.2566370614359172,1.2566370614359172,1.0,-0.8
1.2566370614359172,1.2566370614359172,1.0,-0.6
1.2566370614359172,1.2566370614359172,1.0,-0.3999999999999999
1.2566370614359172,1.2566370614359172,1.0,-0.1999999999999999
1.2566370614359172,1.2566370614359172,1.0,0.0
1.2566370614359172,1.2566370614359172,1.0,0.2000000000000001
1.2566370614359172,1.2566370614359172,1.0,0.4000000000000001
1.2566370614359172,1.2566370614359172,1.0,0.6000000000000001
1.2566370614359172,1.2566370614359172,1.0,0.8
1.2566370614359172,1.2566370614359172,1.0,1.0
1.2566370614359172,1.884955592153876,-1.0,-1.0
1.2566370614359172,1.884955592153876,-1.0,-0.8
1.2566370614359172,1.884955592153876,-1.0,-0.6
1.2566370614359172,1.884955592153876,-1.0,-0.3999999999999999
1.2566370614359172,1.884955592153876,-1.0,-0.1999999999999999
1.2566370614359172,1.884955592153876,-1.0,0.0
1.2566370614359172,1.884955592153876,-1.0,0.2000000000000001
1.2566370614359172,1.884955592153876,-1.0,0.4000000000000001
1.2566370614359172,1.884955592153876,-1.0,0.6000000000000001
1.2566370614359172,1.884955592153876,-1.0,0.8
1.2566370614359172,1.884955592153876,-1.0,1.0
1.2566370614359172,1.884955592153876,-0.8,-1.0
1.2566370614359172,1.884955592153876,-0.8,-0.8
1.2566370614359172,1.884955592153876,-0.8,-0.6
1.2566370614359172,1.884955592153876,-0.8,-0.3999999999999999
1.2566370614359172,1.884955592153876,-0.8,-0.1999999999999999
1.2566370614359172,1.884955592153876,-0.8,0.0
1.2566370614359172,1.884955592153876,-0.8,0.2000000000000001
1.2566370614359172,1.884955592153876,-0.8,0.4000000000000001
1.2566370614359172,1.884955592153876,-0.8,0.6000000000000001
1.2566370614359172,1.884955592153876,-0.8,0.8
1.2566370614359172,1.884955592153876,-0.8,1.0
1.2566370614359172,1.884955592153876,-0.6,-1.0
1.2566370614359172,1.884955592153876,-0.6,-0.8
1.2566370614359172,1.884955592153876,-0.6,-0.6
1.2566370614359172,1.884955592153876,-0.6,-0.3999999999999999
1.2566370614359172,1.884955592153876,-0.6,-0.1999999999999999
1.2566370614359172,1.884955592153876,-0.6,0.0
1.2566370614359172,1.884955592153876,-0.6,0.2000000000000001
1.2566370614359172,1.884955592153876,-0.6,0.4000000000000001
1.2566370614359172,1.884955592153876,-0.6,0.6000000000000001
1.2566370614359172,1.884955592153876,-0.6,0.8
1.2566370614359172,1.884955592153876,-0.6,1.0
1.2566370614359172,1.884955592153876,-0.3999999999999999,-1.0
1.2566370614359172,1.884955592153876,-0.3999999999999999,-0.8
1.2566370614359172,1.884955592153876,-0.3999999999999999,-0.6
1.2566370614359172,1.884955592153876,-0.3999999999999999,-0.3999999999999999
1.2566370614359172,1.884955592153876,-0.3999999999999999,-0.1999999999999999
1.2566370614359172,1.884955592153876,-0.3999999999999999,0.0
1.2566370614359172,1.884955592153876,-0.3999999999999999,0.2000000000000001
1.2566370614359172,1.884955592153876,-0.3999999999999999,0.4000000000000001
1.2566370614359172,1.884955592153876,-0.3999999999999999,0.6000000000000001
1.2566370614359172,1.884955592153876,-0.3999999999999999,0.8
1.2566370614359172,1.884955592153876,-0.3999999999999999,1.0
1.2566370614359172,1.884955592153876,-0.1999999999999999,-1.0
1.2566370614359172,1.884955592153876,-0.1999999999999999,-0.8
1.2566370614359172,1.884955592153876,-0.1999999999999999,-0.6
1.2566370614359172,1.884955592153876,-0.1999999999999999,-0.3999999999999999
1.2566370614359172,1.884955592153876,-0.1999999999999999,-0.1999999999999999
1.2566370614359172,1.884955592153876,-0.1999999999999999,0.0
1.2566370614359172,1.884955592153876,-0.1999999999999999,0.2000000000000001
1.2566370614359172,1.884955592153876,-0.1999999999999999,0.4000000000000001
1.2566370614359172,1.884955592153876,-0.1999999999999999,0.6000000000000001
1.2566370614359172,1.884955592153876,-0.1999999999999999,0.8
1.2566370614359172,1.884955592153876,-0.1999999999999999,1.0
1.2566370614359172,1.884955592153876,0.0,-1.0
1.2566370614359172,1.884955592153876,0.0,-0.8
1.2566370614359172,1.884955592153876,0.0,-0.6
1.2566370614359172,1.884955592153876,0.0,-0.3999999999999999
1.2566370614359172,1.884955592153876,0.0,-0.1999999999999999
1.2566370614359172,1.884955592153876,0.0,0.0
1.2566370614359172,1.884955592153876,0.0,0.2000000000000001
1.2566370614359172,1.884955592153876,0.0,0.4000000000000001
1.2566370614359172,1.884955592153876,0.0,0.6000000000000001
1.2566370614359172,1.884955592153876,0.0,0.8
1.2566370614359172,1.884955592153876,0.0,1.0
1.2566370614359172,1.884955592153876,0.2000000000000001,-1.0
1.2566370614359172,1.884955592153876,0.2000000000000001,-0.8
1.2566370614359172,1.884955592153876,0.2000000000000001,-0.6
1.2566370614359172,1.884955592153876,0.2000000000000001,-0.3999999999999999
1.2566370614359172,1.884955592153876,0.2000000000000001,-0.1999999999999999
1.2566370614359172,1.884955592153876,0.2000000000000001,0.0
1.2566370614359172,1.884955592153876,0.2000000000000001,0.2000000000000001
1.2566370614359172,1.884955592153876,0.2000000000000001,0.4000000000000001
1.2566370614359172,1.884955592153876,0.2000000000000001,0.6000000000000001
1.2566370614359172,1.884955592153876,0.2000000000000001,0.8
1.2566370614359172,1.884955592153876,0.2000000000000001,1.0
1.2566370614359172,1.884955592153876,0.4000000000000001,-1.0
1.2566370614359172,1.884955592153876,0.4000000000000001,-0.8
1.2566370614359172,1.884955592153876,0.4000000000000001,-0.6
1.2566370614359172,1.884955592153876,0.4000000000000001,-0.3999999999999999
1.2566370614359172,1.884955592153876,0.4000000000000001,-0.1999999999999999
1.2566370614359172,1.884955592153876,0.4000000000000001,0.0
1.2566370614359172,1.884955592153876,0.4000000000000001,0.2000000000000001
1.2566370614359172,1.884955592153876,0.4000000000000001,0.4000000000000001
1.2566370614359172,1.884955592153876,0.4000000000000001,0.6000000000000001
1.2566370614359172,1.884955592153876,0.4000000000000001,0.8
1.2566370614359172,1.884955592153876,0.4000000000000001,1.0
1.2566370614359172,1.884955592153876,0.6000000000000001,-1.0
1.2566370614359172,1.884955592153876,0.6000000000000001,-0.8
1.2566370614359172,1.884955592153876,0.6000000000000001,-0.6
1.2566370614359172,1.884955592153876,0.6000000000000001,-0.3999999999999999
1.2566370614359172,1.884955592153876,0.6000000000000001,-0.1999999999999999
1.2566370614359172,1.884955592153876,0.6000000000000001,0.0
1.2566370614359172,1.884955592153876,0.6000000000000001,0.2000000000000001
1.2566370614359172,1.884955592153876,0.6000000000000001,0.4000000000000001
1.2566370614359172,1.884955592153876,0.6000000000000001,0.6000000000000001
1.2566370614359172,1.884955592153876,0.6000000000000001,0.8
1.2566370614359172,1.884955592153876,0.6000000000000001,1.0
1.2566370614359172,1.884955592153876,0.8,-1.0
1.2566370614359172,1.884955592153876,0.8,-0.8
1.2566370614359172,1.884955592153876,0.8,-0.6
1.2566370614359172,1.884955592153876,0.8,-0.3999999999999999
1.2566370614359172,1.884955592153876,0.8,-0.1999999999999999
1.2566370614359172,1.884955592153876,0.8,0.0
1.2566370614359172,1.884955592153876,0.8,0.2000000000000001
1.2566370614359172,1.884955592153876,0.8,0.4000000000000001
1.2566370614359172,1.884955592153876,0.8,0.6000000000000001
1.2566370614359172,1.884955592153876,0.8,0.8
1.2566370614359172,1.884955592153876,0.8,1.0
1.2566370614359172,1.884955592153876,1.0,-1.0
1.2566370614359172,1.884955592153876,1.0,-0.8
1.2566370614359172,1.884955592153876,1.0,-0.6
1.2566370614359172,1.884955592153876,1.0,-0.3999999999999999
1.2566370614359172,1.884955592153876,1.0,-0.1999999999999999
1.2566370614359172,1.884955592153876,1.0,0.0
1.2566370614359172,1.884955592153876,1.0,0.2000000000000001
1.2566370614359172,1.884955592153876,1.0,0.4000000000000001
1.2566370614359172,1.884955592153876,1.0,0.6000000000000001
1.2566370614359172,1.884955592153876,1.0,0.8
1.2566370614359172,1.884955592153876,1.0,1.0
1.2566370614359172,2.5132741228718345,-1.0,-1.0
1.2566370614359172,2.5132741228718345,-1.0,-0.8
1.2566370614359172,2.5132741228718345,-1.0,-0.6
1.2566370614359172,2.5132741228718345,-1.0,-0.3999999999999999
1.2566370614359172,2.5132741228718345,-1.0,-0.1999999999999999
1.2566370614359172,2.5132741228718345,-1.0,0.0
1.2566370614359172,2.5132741228718345,-1.0,0.2000000000000001
1.2566370614359172,2.5132741228718345,-1.0,0.4000000000000001
1.2566370614359172,2.5132741228718345,-1.0,0.6000000000000001
1.2566370614359172,2.5132741228718345,-1.0,0.8
1.2566370614359172,2.5132741228718345,-1.0,1.0
1.2566370614359172,2.5132741228718345,-0.8,-1.0
1.2566370614359172,2.5132741228718345,-0.8,-0.8
1.2566370614359172,2.5132741228718345,-0.8,-0.6
1.2566370614359172,2.5132741228718345,-0.8,-0.3999999999999999
1.2566370614359172,2.5132741228718345,-0.8,-0.1999999999999999
1.2566370614359172,2.5132741228718345,-0.8,0.0
1.2566370614359172,2.5132741228718345,-0.8,0.2000000000000001
1.2566370614359172,2.5132741228718345,-0.8,0.4000000000000001
1.2566370614359172,2.5132741228718345,-0.8,0.6000000000000001
1.2566370614359172,2.5132741228718345,-0.8,0.8
1.2566370614359172,2.5132741228718345,-0.8,1.0
1.2566370614359172,2.5132741228718345,-0.6,-1.0
1.2566370614359172,2.5132741228718345,-0.6,-0.8
1.2566370614359172,2.5132741228718345,-0.6,-0.6
1.2566370614359172,2.5132741228718345,-0.6,-0.3999999999999999
1.2566370614359172,2.5132741228718345,-0.6,-0.1999999999999999
1.2566370614359172,2.5132741228718345,-0.6,0.0
1.2566370614359172,2.5132741228718345,-0.6,0.2000000000000001
1.2566370614359172,2.5132741228718345,-0.6,0.4000000000000001
1.2566370614359172,2.5132741228718345,-0.6,0.6000000000000001
1.2566370614359172,2.5132741228718345,-0.6,0.8
1.2566370614359172,2.5132741228718345,-0.6,1.0
1.2566370614359172,2.5132741228718345,-0.3999999999999999,-1.0
1.2566370614359172,2.5132741228718345,-0.3999999999999999,-0.8
